"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","7.001","7.023","7.023","6.986","0.33%"
"Jan 30, 2020","6.978","6.990","6.990","6.974","-0.17%"
"Jan 29, 2020","6.990","7.016","7.016","6.982","0.09%"
"Jan 28, 2020","6.984","6.953","6.991","6.952","0.46%"
"Jan 27, 2020","6.952","6.948","6.969","6.945","-0.29%"
"Jan 24, 2020","6.972","7.015","7.015","6.969","-0.30%"
"Jan 23, 2020","6.993","7.016","7.028","6.987","-0.41%"
"Jan 22, 2020","7.022","7.022","7.032","7.011","0.11%"
"Jan 21, 2020","7.014","7.028","7.028","6.997","-0.31%"
"Jan 20, 2020","7.036","7.028","7.039","7.020","0.14%"
"Jan 17, 2020","7.026","7.068","7.072","7.013","-0.62%"
"Jan 16, 2020","7.070","7.079","7.108","7.062","-0.38%"
"Jan 15, 2020","7.097","7.159","7.159","7.095","-0.56%"
"Jan 14, 2020","7.137","7.159","7.165","7.129","1.06%"
"Jan 13, 2020","7.062","7.046","7.078","7.046","0.23%"
"Jan 10, 2020","7.046","7.069","7.069","7.040","1.12%"
"Jan 09, 2020","6.968","6.979","6.986","6.959","-0.63%"
"Jan 08, 2020","7.012","7.035","7.035","6.994","0.14%"
"Jan 07, 2020","7.002","7.001","7.016","6.979","-0.16%"
"Jan 06, 2020","7.013","6.957","7.022","6.951","1.20%"
"Jan 03, 2020","6.930","6.918","6.934","6.895","0.43%"
"Jan 02, 2020","6.900","6.910","6.916","6.893","-0.10%"
"Jan 01, 2020","6.907","6.980","6.980","6.907","-0.82%"